,degree_centrality,close_centrality,eigen_vector_centrality,pagerank
Rashid Khan,1.2520288284139056,0.0,0.00038561320856416196,0.011049780023771815
Sandeep Sharma,0.3629181784988465,0.0,0.00038561320856416196,0.011049780023771815
KK Ahmed,0.0,0.0,0.00038561320856416196,0.011049780023771815
KS Williamson,10.219738652374016,0.0,0.00038561320856416196,0.011049780023771815
Abhishek Sharma,2.288775015764183,0.0,0.00038561320856416196,0.011049780023771815
S Nadeem,0.2668502791314217,0.0,0.00038561320856416196,0.011049780023771815
T Natarajan,0.1374351923462519,0.0,0.00038561320856416196,0.011049780023771815
B Kumar,0.0,0.0,0.00038561320856416196,0.011049780023771815
MR Marsh,0.0,0.0,0.00038561320856416196,0.011049780023771815
Mohammad Nabi,0.35889740362583816,0.0,0.00038561320856416196,0.011049780023771815
SP Goswami,0.0,0.0,0.00038561320856416196,0.011049780023771815
,degree_centrality,close_centrality,eigen_vector_centrality,pagerank
YBK Jaiswal,1.2066553730213827,0.0,0.00040074244547929066,0.012150578433630007
SPD Smith,9.915135785873627,0.0,0.00040074244547929066,0.012150578433630007
SV Samson,10.994119850281175,0.0,0.00040074244547929066,0.012150578433630007
RV Uthappa,5.897201245637586,0.0,0.00040074244547929066,0.012150578433630007
R Tewatia,8.298867814495853,0.0,0.00040074244547929066,0.012150578433630007
R Parag,3.176702143406086,0.0,0.00040074244547929066,0.012150578433630007
TK Curran,2.937538457818001,0.0,0.00040074244547929066,0.012150578433630007
JC Archer,4.090328516850351,0.0,0.00040074244547929066,0.012150578433630007
JC Buttler,10.87854101577574,0.0,0.00040074244547929066,0.012150578433630007
MK Lomror,2.0195440802332474,0.0,0.00040074244547929066,0.012150578433630007
AJ Tye,0.1971738416036806,0.0,0.00040074244547929066,0.012150578433630007
S Gopal,1.0178068448325168,0.0,0.00040074244547929066,0.012150578433630007
Kartik Tyagi,0.12551064292273928,0.0,0.00040074244547929066,0.012150578433630007
VR Aaron,0.027624309392265192,0.0,0.00040074244547929066,0.012150578433630007
JD Unadkat,0.2949274973627278,0.0,0.00040074244547929066,0.012150578433630007
AS Rajpoot,0.3086300244647937,0.0,0.00040074244547929066,0.012150578433630007
BA Stokes,9.304407634261345,0.0,0.00040074244547929066,0.012150578433630007
