,M Vijay,SR Watson,F du Plessis,AT Rayudu,RA Jadeja,SM Curran,MS Dhoni,DA Warner,WP Saha,JR Philippe,D Padikkal,V Kohli,AB de Villiers,S Dube,Gurkeerat Singh,CH Morris,Washington Sundar,Shubman Gill,SP Narine,KD Karthik,N Rana,EJG Morgan,AD Russell,NS Naik,PJ Cummins,Shivam Mavi,Kuldeep Yadav,YBK Jaiswal,SPD Smith,JC Buttler,SV Samson,MK Lomror,TK Curran,R Tewatia,JC Archer,S Gopal,AS Rajpoot,KL Rahul,MA Agarwal,CH Gayle,N Pooran,GJ Maxwell,DJ Hooda,CJ Jordan,RD Gaikwad,N Jagadeesan,DL Chahar,SN Thakur,Imran Tahir,RA Tripathi,PP Shaw,AM Rahane,S Dhawan,SS Iyer,MP Stoinis,AT Carey,RR Pant,SO Hetmyer,HV Patel,R Ashwin,P Dubey,K Rabada,JM Bairstow,MK Pandey,KS Williamson,PK Garg,Abhishek Sharma,Abdul Samad,Rashid Khan,Sandeep Sharma,RV Uthappa,BA Stokes,AJ Finch,AR Patel,DR Sams,degree_centrality
MJ Santner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39994
Monu Kumar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,KL Rahul,MA Agarwal,KK Nair,N Pooran,GJ Maxwell,SN Khan,K Gowtham,CJ Jordan,Shubman Gill,N Rana,RA Tripathi,KD Karthik,SP Narine,EJG Morgan,YBK Jaiswal,JC Buttler,SPD Smith,SV Samson,MK Lomror,R Tewatia,AJ Tye,JC Archer,S Gopal,Kartik Tyagi,VR Aaron,JR Philippe,D Padikkal,V Kohli,AB de Villiers,CH Morris,S Dube,I Udana,Washington Sundar,Shahbaz Ahmed,SM Curran,F du Plessis,SR Watson,AT Rayudu,MS Dhoni,RA Jadeja,AD Russell,PJ Cummins,KL Nagarkoti,Shivam Mavi,AJ Finch,MM Ali,NA Saini,Mohammed Siraj,YS Chahal,DA Warner,WP Saha,MK Pandey,KS Williamson,RG Sharma,Q de Kock,SA Yadav,Ishan Kishan,HH Pandya,KA Pollard,KH Pandya,JM Bairstow,Abdul Samad,Abhishek Sharma,M Vijay,RD Gaikwad,KM Jadhav,BA Stokes,RV Uthappa,R Parag,CH Gayle,DJ Hooda,JDS Neesham,PK Garg,JO Holder,Rashid Khan,SP Goswami,S Nadeem,Sandeep Sharma,degree_centrality
A Nortje,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31149,0.0,0.14585,0.0,0.07813,0.29743,0.0,0.26343,0.23464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34295,0.0,0.68449,0.02612,0.0,0.01053,0.0,0.0,0.0,0.0,0.21292,0.0,0.13048,0.0,0.0,0.10783,0.0,0.0,0.0,0.0,0.0,0.01222,0.0,0.0,0.15226,0.0,0.0,0.21386,0.32632,0.32268,0.0,0.19037,0.0,0.0,0.0,0.0,0.0,0.02305,0.0,0.04766,0.0,0.14296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.27767
MM Sharma,0.40901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40901
K Rabada,0.60673,0.0,0.0,0.66198,0.17847,0.0,0.04219,0.0,0.0,0.0,0.0,0.1408,0.10045,0.0,0.0,0.0,0.0,0.0,0.0,0.26317,0.0,0.22394,0.0,0.0,0.00055,0.08071,0.0,0.46257,0.0,0.0,0.24735,0.01354,0.10472,0.0,0.0,0.77549,0.0,0.0,0.16775,0.20643,0.09007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44485,0.0,0.0,0.271,0.0,0.0,0.41485,0.44667,0.0,0.26073,0.0,0.28101,0.0843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03096,0.0,0.0,0.0,6.601280000000001
R Ashwin,0.0,0.0,0.01085,0.22346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22865,0.20366,0.0,0.0373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29766,0.31229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30033,0.0,0.0,0.0,0.18563,0.56647,0.0,0.0,0.0,0.17603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7234
AR Patel,0.35771,0.0,0.0,0.0,0.0,0.01895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2215,0.0,0.0,0.00391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14807,0.00639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0351,0.0,0.0,0.0,0.0,1.11512
MP Stoinis,0.0,0.23173,0.0,0.0,0.0,0.0,0.0,0.01494,0.0,0.17477,0.11153,0.0,0.0,0.22745,0.02169,0.0,0.0,0.22346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22456,0.1612,0.0,0.24954,0.0,0.0,0.14557,0.0,0.05564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06591,0.0,0.0,0.0,0.0,0.0,1.90799
TU Deshpande,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36980999999999997
