,degree_centrality,close_centrality,eigen_vector_centrality,pagerank
AR Patel,2.23024,0.0,0.0006168539708043668,0.010090873738725295
MP Stoinis,3.81598,0.0,0.0006168539708043668,0.010090873738725295
TU Deshpande,0.7396199999999999,0.0,0.0006168539708043668,0.010090873738725295
HV Patel,0.57256,0.0,0.0006168539708043668,0.010090873738725295
DR Sams,0.0,0.0,0.0006168539708043668,0.010090873738725295
A Mishra,1.8315000000000001,0.0,0.0006168539708043668,0.010090873738725295
I Sharma,0.0,0.0,0.0006168539708043668,0.010090873738725295
P Dubey,0.0,0.0,0.0006168539708043668,0.010090873738725295
Avesh Khan,0.0,0.0,0.0006168539708043668,0.010090873738725295
,degree_centrality,close_centrality,eigen_vector_centrality,pagerank
SS Cottrell,2.19538,0.0,0.0008104978279486731,0.011467883813749979
Mohammed Shami,6.814219999999999,0.0,0.0008104978279486731,0.011467883813749979
CJ Jordan,2.7857,0.0,0.0008104978279486731,0.011467883813749979
K Gowtham,0.37404,0.0,0.0008104978279486731,0.011467883813749979
Ravi Bishnoi,3.32802,0.0,0.0008104978279486731,0.011467883813749979
Arshdeep Singh,2.5846,0.0,0.0008104978279486731,0.011467883813749979
M Ashwin,2.0975,0.0,0.0008104978279486731,0.011467883813749979
JDS Neesham,0.21423999999999999,0.0,0.0008104978279486731,0.011467883813749979
CH Gayle,0.0,0.0,0.0008104978279486731,0.011467883813749979
GJ Maxwell,0.60846,0.0,0.0008104978279486731,0.011467883813749979
Harpreet Brar,0.0,0.0,0.0008104978279486731,0.011467883813749979
DJ Hooda,0.0,0.0,0.0008104978279486731,0.011467883813749979
Mujeeb Ur Rahman,0.0,0.0,0.0008104978279486731,0.011467883813749979
,degree_centrality,close_centrality,eigen_vector_centrality,pagerank
PJ Cummins,3.11028,0.0,0.0008246352792057948,0.01216544059905366
M Prasidh Krishna,1.02418,0.0,0.0008246352792057948,0.01216544059905366
CV Varun,8.402560000000001,0.0,0.0008246352792057948,0.01216544059905366
LH Ferguson,1.71566,0.0,0.0008246352792057948,0.01216544059905366
KL Nagarkoti,0.67472,0.0,0.0008246352792057948,0.01216544059905366
SP Narine,1.2113399999999999,0.0,0.0008246352792057948,0.01216544059905366
Shivam Mavi,2.66574,0.0,0.0008246352792057948,0.01216544059905366
AD Russell,2.2781000000000002,0.0,0.0008246352792057948,0.01216544059905366
Kuldeep Yadav,0.00906,0.0,0.0008246352792057948,0.01216544059905366
S Sandeep Warrier,0.0,0.0,0.0008246352792057948,0.01216544059905366
N Rana,0.0,0.0,0.0008246352792057948,0.01216544059905366
CJ Green,0.0,0.0,0.0008246352792057948,0.01216544059905366
,degree_centrality,close_centrality,eigen_vector_centrality,pagerank
CH Morris,3.32648,0.0,0.0007406371289584058,0.011111090203595308
Mohammed Siraj,2.91642,0.0,0.0007406371289584058,0.011111090203595308
NA Saini,0.8992199999999999,0.0,0.0007406371289584058,0.011111090203595308
I Udana,2.49438,0.0,0.0007406371289584058,0.011111090203595308
YS Chahal,8.421479999999999,0.0,0.0007406371289584058,0.011111090203595308
Washington Sundar,2.93934,0.0,0.0007406371289584058,0.011111090203595308
DW Steyn,0.012,0.0,0.0007406371289584058,0.011111090203595308
Shahbaz Ahmed,1.52594,0.0,0.0007406371289584058,0.011111090203595308
UT Yadav,0.0,0.0,0.0007406371289584058,0.011111090203595308
S Dube,1.0574599999999998,0.0,0.0007406371289584058,0.011111090203595308
A Zampa,1.27846,0.0,0.0007406371289584058,0.011111090203595308
MM Ali,0.49142,0.0,0.0007406371289584058,0.011111090203595308
,degree_centrality,close_centrality,eigen_vector_centrality,pagerank
Sandeep Sharma,7.16812,0.0,0.0006901709976888531,0.010009992276666666
JO Holder,3.66324,0.0,0.0006901709976888531,0.010009992276666666
S Nadeem,1.44062,0.0,0.0006901709976888531,0.010009992276666666
T Natarajan,2.9280600000000003,0.0,0.0006901709976888531,0.010009992276666666
Rashid Khan,6.5862,0.0,0.0006901709976888531,0.010009992276666666
KK Ahmed,2.3397,0.0,0.0006901709976888531,0.010009992276666666
Abhishek Sharma,0.8319,0.0,0.0006901709976888531,0.010009992276666666
V Shankar,1.4145400000000001,0.0,0.0006901709976888531,0.010009992276666666
Basil Thampi,0.3391,0.0,0.0006901709976888531,0.010009992276666666
B Kumar,1.2673400000000001,0.0,0.0006901709976888531,0.010009992276666666
Abdul Samad,0.0231,0.0,0.0006901709976888531,0.010009992276666666
