,DL Chahar,SM Curran,L Ngidi,PP Chawla,RA Jadeja,Sandeep Sharma,JO Holder,S Nadeem,T Natarajan,Rashid Khan,CH Morris,DW Steyn,Washington Sundar,Mohammed Siraj,YS Chahal,SS Cottrell,Mohammed Shami,Ravi Bishnoi,K Gowtham,JDS Neesham,S Sandeep Warrier,Shivam Mavi,PJ Cummins,SP Narine,AD Russell,Kuldeep Yadav,AS Rajpoot,S Gopal,JC Archer,Kartik Tyagi,TK Curran,R Tewatia,GJ Maxwell,Arshdeep Singh,CJ Jordan,M Ashwin,DJ Hooda,JR Hazlewood,Imran Tahir,SN Thakur,CJ Green,M Prasidh Krishna,CV Varun,K Rabada,A Nortje,AR Patel,R Ashwin,HV Patel,MP Stoinis,P Dubey,S Kaul,Abdul Samad,KS Williamson,I Udana,NA Saini,A Zampa,DR Sams
JJ Bumrah,0.17705382436260625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ishan Kishan,0.6728045325779037,0.0,0.0,0.0,0.42706964520367935,0.09610104338275673,0.0,0.10755579456843238,0.14539110206455363,1.6105417276720353,0.16673614005835766,0.30935808197989173,0.41653316244793337,0.17992083483267363,0.4888888888888889,0.23866348448687352,0.08968609865470852,0.38301947015639964,0.03469812630117974,0.050207104305259195,0.0,0.0,0.0,0.0,0.0,0.0,0.6485849056603773,0.06190672719768881,0.09376465072667604,0.024521824423737126,0.0,0.2823861630780092,0.146163215590743,0.0,0.0,0.0,0.0,0.265625,0.7586533902323376,0.10298661174047374,0.0,0.0,0.0,1.4088397790055247,1.5470562956596476,0.22801302931596093,0.7459903021260724,0.20456870098874874,0.9858692080184029,0.28,0.03519887363604365,0.020833333333333332,0.12,0.28368794326241137,0.8324205914567361,0.7945516458569807,0.1
NM Coulter-Nile,0.0,0.0,0.0,0.0,0.0,0.04118616144975288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35874439461883406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3302752293577982,0.10463899546564352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DS Kulkarni,0.0,0.0,0.0,0.0,0.0,0.0,0.10574550581600281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,TA Boult,JL Pattinson,JJ Bumrah,KH Pandya,RD Chahar,JD Unadkat,JC Archer,S Gopal,TK Curran,R Tewatia,PJ Cummins,Shivam Mavi,CV Varun,KL Nagarkoti,SP Narine,AD Russell,JDS Neesham,Mohammed Shami,CJ Jordan,Ravi Bishnoi,M Ashwin,CH Gayle,TU Deshpande,K Rabada,AR Patel,A Nortje,R Ashwin,MP Stoinis,SS Cottrell,Harpreet Brar,B Kumar,KK Ahmed,T Natarajan,Abhishek Sharma,Rashid Khan,Abdul Samad,NM Coulter-Nile,KA Pollard,CH Morris,NA Saini,I Udana,Washington Sundar,YS Chahal,S Dube,Sandeep Sharma,S Nadeem,AS Rajpoot,Kartik Tyagi,BA Stokes,LH Ferguson,N Rana,Avesh Khan,A Mishra,Mohammed Siraj,MM Ali
M Vijay,0.03995205753096284,0.0,0.0,0.0,0.0,0.40160642570281124,0.09376465072667604,0.10317787866281469,0.0,0.0705965407695023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11049723756906077,0.22801302931596093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016722408026755852,0.0,0.0,0.0
SR Watson,0.07990411506192568,0.0,0.0,0.0,0.0,0.10040160642570281,0.3281762775433662,0.24762690879075525,0.4417448923246825,0.017649135192375574,0.415202810603641,0.551844321812373,0.20718232044198895,0.4112554112554112,0.08071025020177562,0.0,0.0,0.14947683109118085,0.4185559818625741,0.7022023619533994,0.0,0.0,0.3844510892780863,0.2762430939226519,0.1791530944625407,0.04297378599054577,0.44759418127564343,0.0,0.7500852369587454,0.22,0.0,0.08964589870013448,0.1308519918580983,0.0,0.8784773060029283,0.0,0.0,0.0,0.16673614005835766,0.0,0.14184397163120568,0.08010253123998719,0.0,0.0,0.08237232289950576,0.32266738370529713,0.0,0.0980872976949485,0.0,0.0,0.0,0.1839464882943144,0.0,0.0,0.0
F du Plessis,0.2596883739512585,0.2406325197662427,0.67425200168563,0.2745576571079927,0.5257228689447991,0.7362784471218207,0.2656665103922488,0.24762690879075525,0.3313086692435119,0.6353688669255206,0.22357074417119133,0.14522218995062447,0.0,0.0,0.0,0.0,0.16317308899209237,0.9267563527653213,0.7150331356818974,0.6702840727736994,0.15943877551020408,0.0,0.6834686031610423,0.29465930018416203,0.48859934853420195,1.0313708637730985,0.29839612085042894,0.0,0.20456870098874874,0.18,0.08361204013377926,0.5378753922008068,0.23262576330328583,0.0,0.0,0.0,0.0,0.0,0.22926219258024177,0.02190580503833516,0.05673758865248227,0.11214354373598205,0.08888888888888889,0.0,0.0,0.0,0.20636792452830188,0.0,0.0,0.0,0.0,0.11705685618729098,0.6206040546131567,0.35984166966534725,0.0
AT Rayudu,0.1997602876548142,0.30938466827088346,0.4635482511588706,0.4575960951799878,0.41306796845662785,0.0,0.0,0.08254230293025175,0.0,0.03529827038475115,0.2555094219099329,0.08713331397037467,0.5524861878453039,0.16233766233766234,0.2824858757062147,0.0,0.012551776076314799,0.14947683109118085,0.20927799093128704,0.28726460261729975,0.1913265306122449,0.07407407407407407,0.08543357539513029,0.49723756906077343,0.13029315960912052,0.5156854318865493,0.3729951510630362,0.2628984554715741,0.0,0.0,0.08361204013377926,0.02241147467503362,0.18900843268391973,0.0,0.5856515373352855,0.0,0.0,0.0,0.20842017507294708,0.5038335158817087,0.15602836879432624,0.3844921499519385,0.17777777777777778,0.24691358024691357,0.16474464579901152,0.45711212691583764,0.0,0.024521824423737126,0.23282887077997672,0.05188067444876784,0.6407097092163627,0.0,0.0,0.3238575026988125,0.2597402597402597
RA Jadeja,0.03995205753096284,0.3437607425232039,0.1685630004214075,0.01525320317266626,0.0,0.0,0.5625879043600563,0.1650846058605035,0.027609055770292656,0.2117896223085069,0.06387735547748323,0.0,0.0,0.2597402597402597,0.20177562550443906,0.5698005698005698,0.0,0.0,0.0,0.0,0.0,0.0,0.42716787697565145,0.46961325966850825,0.0,0.7735281478298238,0.0,0.0,0.0,0.0,0.6270903010033444,0.6275212909009413,0.39255597557429484,0.0,0.14641288433382138,0.10416666666666667,0.0,0.0,0.12505210504376824,0.0,0.028368794326241134,0.0,0.0,0.0,0.2471169686985173,0.0,0.0,0.196174595389897,0.14551804423748546,0.44098573281452663,0.0,0.0,0.0,0.0,0.0
